ROWID_OBJECT,CREATOR,CREATE_DATE,UPDATED_BY,LAST_UPDATE_DATE,CONSOLIDATION_IND,DELETED_IND,DELETED_BY,DELETED_DATE,LAST_ROWID_SYSTEM,DIRTY_IND,INTERACTION_ID,HUB_STATE_IND,CM_DIRTY_IND,PRODUCT_ID_CD,UOM,PRODUCT_CATEGORY,PRODUCT_ITEM,PRODUCT_CLASSIFICATION_CD,BRAND_CD,IMP_DOM_INDICATOR,MATERIAL_TYPE,HS_CD,BRAND_LINE,COLOR_NM,MATERIAL_NM,S_CLASS_CD,SIZE_CD,T_CLASS_CD,TYPE_CD,GENDER_CD,PRODUCT_LIFE_CD,QUANTITY_WITHIN_SET,BOARD_BANNED_YN,INTERNET_SALES_YN,FLAMMABLE_YN,NATION_CD,WEIGHT,WEIGHT_UNIT,VOLUME_LENGTH,VOLUME_WIDTH,VOLUME_HEIGHT,VOLUME_MEA_UNIT,VOLUME,VOLUME_UNIT,QUANTITY_WITHIN_BOX,QUANTITY_WITHIN_BOX_UNIT,QUANTITY_WITHIN_PACK,QUANTITY_WITHIN_PACK_UNIT,MANUF_CD,G_KINDS_CLS,G_KINDS_CD,G_FOODCLASS_CD,G_AGE_CD,F_COLOR_TYPE_CD,F_SKIN_TYPE_CD,F_SPF_INDEX_CD,F_PRODUCTION_TYPE_CLS,F_PRODUCTION_TYPE_CD,F_HAIR_TYPE_CD,F_FLAVOR_TYPE_CD,F_AGE_CD,F_SHEET_TYPE_CD,F_BRUSH_TYPE_CD,F_WATERP_CD,F_INCH_CD,F_BAND_CD,F_MOVEMENT_CD,F_SIZE_CD,F_PEN_CD,F_PENPOINT_CD,F_VOLTAGE_CD,F_PIXELS_CD,F_SCREEN_SIZE_CD,F_PLAY_VIDEO_YN_CD,F_OPTICAL_ZOOM_CD,F_RESVD_1,F_RESVD_2,F_RESVD_3,F_RESVD_4,F_RESVD_5,F_RESVD_6,F_RESVD_7,F_RESVD_8,F_RESVD_9,F_RESVD_10,USE_FG,CRE_TIMESTAMP,UDT_TIMESTAMP,CRE_ID,UDT_ID,DUP_CHK,CHG_REASON,FTC_CD,LIQUID_YN
5282,admin,2015/12/28 오전 10:40:16.891000,admin,2017/01/19 오전 0:00:03.225000,4,,,,MDM ,,,1,,000814000164,EA,14,1410,141013,0008,041|0,Z001,4202222000,PLIAGES,001,PVC(POLYVINYL CHLORIDE),,,,,03,04,,036|N,,038|N,,0,G,0,0,0,CM,0,CCM,1,CS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,03-13-2011 00:00:00,03-04-2016 11:25:03,95663,narae15.park,141013|0008|PLIAGES|1625089001|001|PVC(POLYVINYLCHLORIDE)|03||||,,12,N
5284,admin,2015/12/28 오전 10:40:16.892000,admin,2017/01/19 오전 0:00:03.230000,4,,,,MDM ,,,1,,000814000180,EA,14,1410,141013,0008,041|0,Z001,4202921010,PLIAGES,645,PVC(POLYVINYL CHLORIDE),,,,,03,04,0000,036|N,037|N,038|N,,0,G,0,0,0,CM,0,CCM,1,CS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,03-13-2011 00:00:00,11-04-2015 00:00:00,95663,S22982,141013|0008|PLIAGES|1625089645|645|PVC(POLYVINYLCHLORIDE)|03||||,,12,N
5286,admin,2015/12/28 오전 10:40:16.892000,admin,2017/01/19 오전 0:00:02.971000,4,,,,MDM ,,,1,,000814000786,EA,14,1410,141013,0008,041|0,Z001,4202921010,LE PLIAGE,556,PVC(POLYVINYL CHLORIDE),,,,,02,04,0000,036|N,037|N,038|N,,0,G,0,0,0,CM,0,CCM,1,CS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,03-13-2011 00:00:00,11-04-2015 00:00:00,95663,S22982,141013|0008|LEPLIAGE|1623089556|556|PVC(POLYVINYLCHLORIDE)|02||||,,12,N
5288,admin,2015/12/28 오전 10:40:16.892000,admin,2017/01/19 오전 0:00:02.977000,4,,,,MDM ,,,1,,000814001784,EA,14,1430,143011,0008,041|0,Z001,4202121010,BOXFORD,"42,BROWN",피.브이.씨,,,,,03,04,0000,036|N,037|N,038|N,,0,G,0,0,0,CM,0,CCM,1,CS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,03-13-2011 00:00:00,11-04-2015 00:00:00,95663,S22982,"143011|0008|BOXFORD|1413080042|42,BROWN|피.브이.씨|03||||",,12,N
5290,admin,2015/12/28 오전 10:40:16.892000,admin,2017/01/19 오전 0:00:02.983000,4,,,,MDM ,,,1,,000814001809,EA,14,1410,141013,0008,041|0,Z001,4202921010,LONGCHAMP,"455,FUCHSIA",피.브이.씨,,,,,02,04,0000,036|N,037|N,038|N,,0,G,0,0,0,CM,0,CCM,1,CS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,03-13-2011 00:00:00,11-04-2015 00:00:00,95663,S22982,"141013|0008|LONGCHAMP|1699089455|455,FUCHSIA|피.브이.씨|02||||",,12,N
5292,admin,2015/12/28 오전 10:40:16.893000,admin,2017/01/19 오전 0:00:02.989000,4,,,,MDM ,,,1,,000814001826,EA,14,1410,141013,0008,041|0,Z001,4202921010,LE PLIAGE,"456,LAGOON",피.브이.씨,,,,,02,04,0000,036|N,037|N,038|N,,0,G,0,0,0,CM,0,CCM,1,CS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,03-13-2011 00:00:00,11-04-2015 00:00:00,95663,S22982,"141013|0008|LEPLIAGE|2605089456|456,LAGOON|피.브이.씨|02||||",,12,N
5294,admin,2015/12/28 오전 10:40:16.893000,admin,2017/01/19 오전 0:00:02.995000,4,,,,MDM ,,,1,,000814001886,EA,14,1410,141013,0008,041|0,Z001,4202221010,PLIAGE,841.0,PVC,,,,,02,01,0000,036|N,037|Y,038|N,ZZ,0,G,0,0,0,CM,0,CCM,1,CS,,,,101|101,101|101|102,,,104|117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,04-07-2011 00:00:00,11-04-2015 00:00:00,RFC_MDM_E,S22982,141013|0008|PLIAGE|2605089841|841.0|PVC|02||||,,12,N
5296,admin,2015/12/28 오전 10:40:16.893000,admin,2017/01/19 오전 0:00:03.000000,4,,,,MDM ,,,1,,000814001951,EA,14,1410,141012,0008,041|0,Z001,4202211090,VEAU FOULONNE,504,LEATHER,,,,,02,01,0000,036|N,037|Y,038|N,ZZ,0,G,0,0,0,CM,0,CCM,1,CS,,,,101|101,101|101|102,,,104|116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,06-16-2011 00:00:00,11-04-2015 00:00:00,RFC_MDM_E,S22982,141012|0008|VEAUFOULONNE|2619021504|504|LEATHER|02||||,,12,N
5298,admin,2015/12/28 오전 10:40:16.894000,admin,2017/01/19 오전 0:00:03.006000,4,,,,MDM ,,,1,,000814002058,EA,14,1410,141013,0008,041|0,Z001,4202221010,LE PLIAGE,645,PVC,,,,,02,01,0000,036|N,,038|N,,0,G,0,0,0,CM,0,CCM,1,CS,,,FNA001,101|101,101|101|102,,,104|125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,06-16-2011 00:00:00,06-01-2016 11:26:30,RFC_MDM_E,170015,141013|0008|LEPLIAGE|1699089645|645|PVC|02||||,,12,N
5300,admin,2015/12/28 오전 10:40:16.894000,admin,2017/01/19 오전 0:00:03.012000,4,,,,MDM ,,,1,,000814002105,EA,14,1410,141012,0008,041|0,Z001,4202211090,VEAU FOULONNE,047,LEATHER,,,,,01,01,0000,036|N,037|Y,038|N,ZZ,0,G,0,0,0,CM,0,CCM,1,CS,,,,101|101,101|101|102,,,104|120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,06-16-2011 00:00:00,11-04-2015 00:00:00,RFC_MDM_E,S22982,141012|0008|VEAUFOULONNE|1617021047|047|LEATHER|01||||,,12,N
5302,admin,2015/12/28 오전 10:40:16.894000,admin,2017/01/19 오전 0:00:03.071000,4,,,,MDM ,,,1,,000814002106,EA,14,1410,141012,0008,041|0,Z001,4202211090,VEAU FOULONNE,002,LEATHER,,,,,01,01,0000,036|N,037|Y,038|N,,0,G,0,0,0,CM,0,CCM,1,CS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,06-16-2011 00:00:00,11-04-2015 00:00:00,RFC_MDM_E,S22982,141012|0008|VEAUFOULONNE|1617021002|002|LEATHER|01||||,,12,N
5304,admin,2015/12/28 오전 10:40:16.894000,admin,2017/01/19 오전 0:00:03.132000,4,,,,MDM ,,,1,,000814002308,EA,14,1410,141015,0008,041|0,Z001,4202221010,PLANETES,001,PVC,,,,,02,01,0000,036|N,037|N,038|N,,0,G,0,0,0,CM,0,CCM,1,CS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,06-16-2011 00:00:00,11-04-2015 00:00:00,RFC_MDM_E,S22982,141015|0008|PLANETES|1602002001|001|PVC|02||||,,12,N
5306,admin,2015/12/28 오전 10:40:16.895000,admin,2017/01/19 오전 0:00:03.193000,4,,,,MDM ,,,1,,000814002318,EA,14,1410,141015,0008,041|0,Z001,4202221010,LE PLIAGE,015,PVC,,,,,02,01,0000,036|N,037|Y,038|N,,0,G,0,0,0,CM,0,CCM,1,CS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,06-16-2011 00:00:00,11-04-2015 00:00:00,RFC_MDM_E,S22982,141015|0008|LEPLIAGE|1621089015|015|PVC|02||||,,12,N
